country,nuts3,potential,year,bark_kton,sawdust_kton
AT,AT124,TECH,2020,0.0,35.281341849846875
AT,AT124,TECH,2030,0.0,31.438380326612823
AT,AT124,UD01,2012,0.0,39.76179160809719
AT,AT124,UD01,2020,0.0,35.281341849846875
AT,AT124,UD01,2030,0.0,31.438380326612823
AT,AT124,UD02,2012,0.0,39.76179160809719
AT,AT124,UD02,2020,0.0,35.281341849846875
AT,AT124,UD02,2030,0.0,31.438380326612823
AT,AT124,UD03,2012,0.0,0.0
AT,AT124,UD03,2020,0.0,0.0
AT,AT124,UD03,2030,0.0,0.0
AT,AT124,UD04,2012,0.0,0.0
AT,AT124,UD04,2020,0.0,0.0
AT,AT124,UD04,2030,0.0,0.0
AT,AT124,UD05,2012,0.0,0.0
AT,AT124,UD05,2020,0.0,0.0
AT,AT124,UD05,2030,0.0,0.0
AT,AT124,UD06,2012,0.0,0.0
AT,AT124,UD06,2020,0.0,0.0
AT,AT124,UD06,2030,0.0,0.0
AT,AT124,UD07,2012,0.0,0.0
AT,AT124,UD07,2020,0.0,0.0
AT,AT124,UD07,2030,0.0,0.0
AT,AT124,UD08,2012,0.0,0.0
AT,AT124,UD08,2020,0.0,0.0
AT,AT124,UD08,2030,0.0,0.0
AT,AT125,BASE,2012,0.0,7.38017216081275
AT,AT125,BASE,2020,0.0,6.548557456433455
AT,AT125,BASE,2030,0.0,5.835266719225555
AT,AT125,HIGH,2012,0.0,0.0
AT,AT125,HIGH,2020,0.0,0.0
AT,AT125,HIGH,2030,0.0,0.0
AT,AT125,TECH,2012,0.0,7.38017216081275
AT,AT125,TECH,2020,0.0,6.548557456433455
AT,AT125,TECH,2030,0.0,5.835266719225555
AT,AT125,UD01,2012,0.0,7.38017216081275
AT,AT125,UD01,2020,0.0,6.548557456433455
AT,AT125,UD01,2030,0.0,5.835266719225555
AT,AT125,UD02,2012,0.0,7.38017216081275
AT,AT125,UD02,2020,0.0,6.548557456433455
AT,AT125,UD02,2030,0.0,5.835266719225555
AT,AT125,UD03,2012,0.0,0.0
AT,AT125,UD03,2020,0.0,0.0
AT,AT125,UD03,2030,0.0,0.0
AT,AT125,UD04,2012,0.0,0.0
AT,AT125,UD04,2020,0.0,0.0
AT,AT125,UD04,2030,0.0,0.0
AT,AT125,UD05,2012,0.0,0.0
AT,AT125,UD05,2020,0.0,0.0
AT,AT125,UD05,2030,0.0,0.0
AT,AT125,UD06,2012,0.0,0.0
AT,AT125,UD06,2020,0.0,0.0
AT,AT125,UD06,2030,0.0,0.0
AT,AT125,UD07,2012,0.0,0.0
AT,AT125,UD07,2020,0.0,0.0
AT,AT125,UD07,2030,0.0,0.0
AT,AT125,UD08,2012,0.0,0.0
AT,AT125,UD08,2020,0.0,0.0
AT,AT125,UD08,2030,0.0,0.0
AT,AT126,BASE,2012,0.0,13.181225677378704
AT,AT126,BASE,2020,0.0,11.695934974642213
AT,AT126,BASE,2030,0.0,10.42197469622969
AT,AT126,HIGH,2012,0.0,0.0
AT,AT126,HIGH,2020,0.0,0.0
AT,AT126,HIGH,2030,0.0,0.0
AT,AT126,TECH,2012,0.0,13.181225677378704
AT,AT126,TECH,2020,0.0,11.695934974642213
AT,AT126,TECH,2030,0.0,10.42197469622969
AT,AT126,UD01,2012,0.0,13.181225677378704
AT,AT126,UD01,2020,0.0,11.695934974642213
AT,AT126,UD01,2030,0.0,10.42197469622969
AT,AT126,UD02,2012,0.0,13.181225677378704
AT,AT126,UD02,2020,0.0,11.695934974642213
AT,AT126,UD02,2030,0.0,10.42197469622969
AT,AT126,UD03,2012,0.0,0.0
AT,AT126,UD03,2020,0.0,0.0
AT,AT126,UD03,2030,0.0,0.0
AT,AT126,UD04,2012,0.0,0.0
AT,AT126,UD04,2020,0.0,0.0
AT,AT126,UD04,2030,0.0,0.0
AT,AT126,UD05,2012,0.0,0.0
AT,AT126,UD05,2020,0.0,0.0
AT,AT126,UD05,2030,0.0,0.0
AT,AT126,UD06,2012,0.0,0.0
AT,AT126,UD06,2020,0.0,0.0
AT,AT126,UD06,2030,0.0,0.0
AT,AT126,UD07,2012,0.0,0.0
AT,AT126,UD07,2020,0.0,0.0
AT,AT126,UD07,2030,0.0,0.0
AT,AT126,UD08,2012,0.0,0.0
AT,AT126,UD08,2020,0.0,0.0
AT,AT126,UD08,2030,0.0,0.0
AT,AT127,BASE,2012,0.0,9.051388528514691
AT,AT127,BASE,2020,0.0,8.031457335671906
AT,AT127,BASE,2030,0.0,7.156644193704711
AT,AT127,HIGH,2012,0.0,0.0
AT,AT127,HIGH,2020,0.0,0.0
AT,AT127,HIGH,2030,0.0,0.0
AT,AT127,TECH,2012,0.0,9.051388528514691
AT,AT127,TECH,2020,0.0,8.031457335671906
AT,AT127,TECH,2030,0.0,7.156644193704711
AT,AT127,UD01,2012,0.0,9.051388528514691
AT,AT127,UD01,2020,0.0,8.031457335671906
AT,AT127,UD01,2030,0.0,7.156644193704711
